ID	[Eubacterium]	[Prevotella]	[Ruminococcus]	Abiotrophia	Achromobacter	Acidovorax	Acinetobacter	Actinobacillus	Actinobaculum	Actinomyces	Aerococcus	Aeromonas	Aggregatibacter	Agrobacterium	Akkermansia	Alcaligenes	Alistipes	Allobaculum	Alloiococcus	Anaerococcus	Anaerolinea	Anaerotruncus	Aquabacterium	Arcobacter	Arthrobacter	Atopobium	Bacillus	Bacteroides	Bifidobacterium	Blautia	Brevibacterium	Brevundimonas	Bulleidia	Burkholderia	Butyricimonas	Caldicoprobacter	Campylobacter	Candidatus Solibacter	Candidatus Xiphinematobacter	CandidatusArthromitus	Capnocytophaga	Carnobacterium	Cellvibrio	Cetobacterium	Chitinophaga	Chryseobacterium	Cloacibacterium	Clostridium	Comamonas	Coprococcus	Corynebacterium	Cupriavidus	Cystobacter	DA101	Deinococcus	Delftia	Dermabacter	Desulfovibrio	Devosia	Dialister	Dok59	Dokdonella	Dorea	Dyadobacter	E6	Enhydrobacter	Enterobacter	Enterococcus	Exiguobacterium	Faecalibacterium	Filifactor	Finegoldia	Flavobacterium	Flexispira	Fusobacterium	Gemmiger	Geobacillus	Geobacter	Granulicatella	HA73	Haemophilus	Helicobacter	Hyphomicrobium	Kaistobacter	Kosmotoga	Lachnoanaerobaculum	Lachnospira	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Lysobacter	Massilia	Megamonas	Megasphaera	Mesorhizobium	Methanobacterium	Methanosaeta	Methylobacterium	Microbacterium	Micrococcus	Moraxella	Mucispirillum	Mycobacterium	Mycoplasma	Neisseria	Nitrosomonas	Nitrospira	Nocardioides	Ochrobactrum	Odoribacter	Oleibacter	Olsenella	Oscillospira	Paenibacillus	Paludibacter	Parabacteroides	Paracoccus	Parvimonas	PD-UASB-13	Pediococcus	Pelomonas	Peptococcus	Peptoniphilus	Peptostreptococcus	Petrimonas	Phascolarctobacterium	Phyllobacterium	Porphyromonas	Prevotella	Propionibacterium	Propionicimonas	Proteiniclasticum	Pseudomonas	Pseudoxanthomonas	Ralstonia	Rhodococcus	Rhodoplanes	Roseburia	Roseococcus	Roseomonas	Rothia	Rubrivivax	Rubrobacter	Ruegeria	Ruminococcus	Schwartzia	Sedimentibacter	Selenomonas	Serratia	SHD-231	Shewanella	Sphingobacterium	Sphingobium	Sphingomonas	Sporanaerobacter	Staphylococcus	Stenotrophomonas	Streptococcus	Sutterella	Syntrophobacter	Syntrophomonas	T78	Tannerella	Thermomonas	Thioalkalimicrobium	Treponema	Turicibacter	vadinHB04	Veillonella	Weissella	Zoogloea
YZ01	0	0	0	0	6.67E-05	0	0.000233407	0	0	0	0	0	0	0	0	0	0	0	0.049682399	0.012587319	0	0	0	0	0	0	0	0	0	0	0	5.00E-05	0	0.000383455	0	0	0	0	0	0	0	0	0	0	0	3.33E-05	0	0	0	0	0.474933729	0	0	0	0	0	0	0	0	0.000166719	0	0	0	0	0	6.67E-05	3.33E-05	0	0	0	0.000100032	0.003617812	0	0	0	0	0	0	0	0	0.003917907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.408496024	0	0	0	8.34E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000916957	0	0	0	0	0.000150048	0	0	0	0	0.001667195	0.000483486	0.007435688	0	0	0	0	0	0	0	0	0	8.34E-05	0	0	0	0	0	0	0	0	0.00436805	0	0	0	0	0	0	0.024457745	0	0.005918541	0	0	0	0	0	0	0	0	0	0	0	0	0
YZ02	0	0	0	0	0.00028641	0	0.001217242	0	0.000143205	0.000214807	0	0	0	0.000930832	0	0	0	0	0.008091078	0.05405986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.476299585	0	0	0	0	0	0.001074037	0	0	0.000716025	0	0	0	0	0	0	0.00085923	0	0	0	0.00057282	0.030789059	0	0	0	0	0	0	0	0	0.010095947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017900616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006086209	0	0	0	0	0.000644422	0	0	0	0	0	0.000214807	0.26134899	0	0	0	0	0	0	0	0	0	0	0.00028641	0	0	0	0	0	0	0	0.03401117	0	0	0	0	0	0	0.080982386	0	0.012602034	0	0	0	0	0	0	0	0	0	0	0	0	0
YZ03	0	0.004775869	0	0.003798352	0.000335149	0	5.59E-05	0.002457757	0	0.001508169	0	0	0.003937997	0.000167574	0	0	0	0	0.015333054	8.38E-05	0	0	0	0	0	0	0	8.38E-05	0	0	0	0	0	0.000670297	0	0	0	0	0	0	0.001871247	0	0	0	0	0	0	0	0	0	0.725066332	0	0	0	0.000111716	0	0	0	0	5.59E-05	0	0	0	0	0	0	0	0	0	0	0.000251362	0	0	0	0.005893032	0	0	0	0.000754085	0	0.005306521	0	0	0	0	0.000921659	0	0	0	0.000782014	8.38E-05	0	0.000139645	0	0	0	0	0	0	0	0	0.153386399	0	0	0	0.006088535	0	0	0	0	0	0	0	0	0	0	0	0	0.001005446	0	0	0	0	0.000335149	0.001228879	0	0	0	0.005669599	0.003742494	0.00533445	0	0	0	0	0	0	0	0	0	0	0.008378718	0	0	0	0	0	0	0.000614439	0.003714565	0	0	0	0	0	0	0.005250663	0	0.024884793	0	0	0	0	0	0	0	0.000949588	0	0	0.001256808	0	0
YZ04	0	0	0	0	3.17E-05	0	0.000142507	0	0	9.50E-05	0	0	0	0	0	0	0	0	0.002042594	0.00042752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.865743013	0	3.17E-05	0	9.50E-05	0	0	0	0	0.000174175	0	0	0	0	0	0	0	0	0	0	0.000110838	0.000934209	0	0	0	0	0	0	0	0	0.00109255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000918375	0	0	0	0.000158341	0	0	0	0	0	0	0	0	0	0	0	0	0.000395851	0	0	0	0	0.000126672	3.17E-05	0	0	0	0.001140052	0.000253345	0.001852585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000807537	0	0	0	3.17E-05	0	0	0.120006334	0	0.003293484	0	0	0	0	0	0	0	0	0	0	0	0	0
YZ05	0	0	0	0	0.003784342	0	0.000688062	0	0	0	0	0	0.002015039	0	0	0.000344031	0	0	0.00835504	0.257335234	0	0	0	0	0	0	0.000344031	0.004324962	0	0	0	0	0	0.000688062	0	0	0.000344031	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160171033	0	0	0	0	0	0.002408217	0	0	0.006094265	0	0	0	0	0	0	0.017103258	0	0	0	9.83E-05	0.218312282	0	0	0	0	0	0	0	0	0.004668993	0	0	0	0	0	0	9.83E-05	0	0	0	0	9.83E-05	0	0	0	0	0	0.000344031	0	0	0.006389148	0	0	0	0.000147442	0	0	0	9.83E-05	0	0	0	0	0	0	0	0	0.008109304	0	0	0	0	0.007519536	0	0	0	0	0.0036369	0.000589768	0.047328845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000344031	0.009485428	0	0	0	0	0	0	0.217820809	0	0.01017349	0	0	0	0	0	0	0	0.000147442	0	0	0.000196589	0	0
YZ06	0	0	0	0.006425703	0	0	0	0	0	0.024988844	0	0	0.004908523	0.000713967	0	0	0	0	0.006336457	0.001606426	0	0	0	0	0	0	0	0	0	0	0.001963409	0.002052655	0	0.004194556	0	0	0.002052655	0	0	0	0.005176261	0	0	0	0	0	0	0	0	0	0.312360553	0	0	0	0.000624721	0	0	0	0	0.003748327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011869701	0	0	0	0	0	0.002677376	0	0	0	0	0.003926818	0	0	0	0.011066488	0.004016064	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001874163	0.030789826	0	0	0	0	0	0	0	0	0	0	0	0.000713967	0.000892459	0	0	0	0	0.00107095	0.001249442	0	0	0	0.005711736	0.009370817	0.005890228	0	0	0.000713967	0	0	0	0	0	0	0	0.008567604	0	0	0	0	0	0	0.001249442	0	0	0	0	0	0	0	0.38768407	0	0.108790718	0	0	0	0	0	0	0	0	0	0	0.016064257	0	0
YZ07	0	0	0	0	0.000138376	0	4.32E-05	0	0	0	0	0	0	0	0	0	0	0	0.000337291	0	0	0	0	0	0	0	0	0	0	0	0	2.59E-05	0	0.000579449	0	0	3.46E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004531814	0	0	0	0	0	0	0	0	2.59E-05	0	0	0	0	0	1.73E-05	0	0	0	0	0.000121079	0.000605395	0	0	0	0	0	0	0	0	0.00069188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.59E-05	0	0	0.000354588	0	0	0	4.32E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000328643	0	0	0	0	5.19E-05	0	0	0	0	0.97683932	0.008942548	0.000847553	0	0	0	0	0	0	0	0	0	2.59E-05	0.000147024	0	0	0	0	0	0	0	0.00045837	0	0	0	0	9.51E-05	0	0.002231313	0	0.002231313	0	0	0	0	0	0	0	0	0	0	0	0	0
YZ08	0	0.000668932	0	0	0	0	0.001360411	0	0	0.000939511	0	0	0.000195418	0	0	0.000774157	0	0	0.003337141	0.002412663	0	0	0	0	0	0	0.000548674	0	0	0	0	0	0	0.000969575	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51E-05	0	0.000232999	0.876751248	0	0	0	0.000465997	0	0	0	0	0	0	0	0	0	0	7.52E-05	0	0	0	0	0	2.25E-05	0	0	0	0	0	0	0	0	1.50E-05	0	0	0	0	0	0	0.000668932	0	0	0	0	0	2.25E-05	0	0	0	0	0.000646383	0	0.00038332	0.00263063	0	0	0	0	0	0	0	1.50E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00138296	0	0	0	0	0.000278095	0.000195418	0.003487463	0	0	0	0	0	0	0	0	0	0	0.000683964	0	0	0	0	0	0	0	0	0	0	0	0	5.26E-05	0	0.097355842	5.26E-05	0.001270218	0	0	0	0	0	0	0	0	0	0	3.01E-05	0	0
YZ09	0	0	0	0.001555331	0.002721829	0	0.005754724	0.000155533	0	0	0	0	0	0.000388833	0	0	0	0	0.004121627	0.004899292	0	0	0	0	0.001710864	0	0	0	0	0	0	0	0	0.012520414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.873396065	0	0.001633097	0	0.003499495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008087721	0	0	0.000155533	0	0	0	0	0	0.001555331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001944164	0	0	0.023096664	0.001322031	0	0	0	0	0	0	0	0	0	0	0	0.000933199	0.000933199	0	0	0	0	0.008865386	0	0	0	0	0	0	0.005210359	0	0	0.001088732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006998989	0	0.009331985	0	0	0	0	0	0	0	0	0	0	0	0	0
YZ10	0	0	0	0	0.000613238	0	0.001073167	0	0	0	0	0	0	0.000766548	0	0	0	0	0.09643172	0.002222989	0	0	0	0	0	0	0	0.000306619	0	0	0	0	0	0.001839715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.830707907	0	0	0	0.000191637	0	0	0	0	0.000191637	0	0	0	0	0	0.000651566	0	0	0	0	0.000268292	0.000306619	0	0	0	0	0	0	0	0	0.002912882	0	0	0	0	0	0	0	0	0.000383274	0.000459929	0	0	0	0	0	0	0	0.000191637	0	0	0.002682917	0	0	0	0.00015331	0	0	0	0	0	0	0	0	0	0	0	0	0.000689893	0	0	0	0	0	0	0	0	0	0.001111494	0	0.008355372	0	0	0.000536583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001533096	0	0	0	0	0	0	0.035146219	0	0.008738646	0	0	0	0	0	0	0	0	0	0	0	0	0
