sample ID	[Eubacterium]	[Prevotella]	[Ruminococcus]	Abiotrophia	Achromobacter	Acidovorax	Acinetobacter	Actinobacillus	Actinobaculum	Actinomyces	Aerococcus	Aeromonas	Aggregatibacter	Agrobacterium	Akkermansia	Alcaligenes	Alistipes	Allobaculum	Alloiococcus	Anaerococcus	Anaerolinea	Anaerotruncus	Aquabacterium	Arcobacter	Arthrobacter	Atopobium	Bacillus	Bacteroides	Bifidobacterium	Blautia	Brevibacterium	Brevundimonas	Bulleidia	Burkholderia	Butyricimonas	Caldicoprobacter	Campylobacter	Candidatus Solibacter	Candidatus Xiphinematobacter	CandidatusArthromitus	Capnocytophaga	Carnobacterium	Cellvibrio	Cetobacterium	Chitinophaga	Chryseobacterium	Cloacibacterium	Clostridium	Comamonas	Coprococcus	Corynebacterium	Cupriavidus	Cystobacter	DA101	Deinococcus	Delftia	Dermabacter	Desulfovibrio	Devosia	Dialister	Dok59	Dokdonella	Dorea	Dyadobacter	E6	Enhydrobacter	Enterobacter	Enterococcus	Exiguobacterium	Faecalibacterium	Filifactor	Finegoldia	Flavobacterium	Flexispira	Fusobacterium	Gemmiger	Geobacillus	Geobacter	Granulicatella	HA73	Haemophilus	Helicobacter	Hyphomicrobium	Kaistobacter	Kosmotoga	Lachnoanaerobaculum	Lachnospira	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Lysobacter	Massilia	Megamonas	Megasphaera	Mesorhizobium	Methanobacterium	Methanosaeta	Methylobacterium	Microbacterium	Micrococcus	Moraxella	Mucispirillum	Mycobacterium	Mycoplasma	Neisseria	Nitrosomonas	Nitrospira	Nocardioides	Ochrobactrum	Odoribacter	Oleibacter	Olsenella	Oscillospira	Paenibacillus	Paludibacter	Parabacteroides	Paracoccus	Parvimonas	PD-UASB-13	Pediococcus	Pelomonas	Peptococcus	Peptoniphilus	Peptostreptococcus	Petrimonas	Phascolarctobacterium	Phyllobacterium	Porphyromonas	Prevotella	Propionibacterium	Propionicimonas	Proteiniclasticum	Pseudomonas	Pseudoxanthomonas	Ralstonia	Rhodococcus	Rhodoplanes	Roseburia	Roseococcus	Roseomonas	Rothia	Rubrivivax	Rubrobacter	Ruegeria	Ruminococcus	Schwartzia	Sedimentibacter	Selenomonas	Serratia	SHD-231	Shewanella	Sphingobacterium	Sphingobium	Sphingomonas	Sporanaerobacter	Staphylococcus	Stenotrophomonas	Streptococcus	Sutterella	Syntrophobacter	Syntrophomonas	T78	Tannerella	Thermomonas	Thioalkalimicrobium	Treponema	Turicibacter	vadinHB04	Veillonella	Weissella	Zoogloea	Group
SY01	0	0	0	0	0.0017728078549025	0	0.0012273285149325	0	0	0	0	0	0	0	0	0.00109095867994	0	0	0.0289104050184099	0.01527342151916	0	0	0	0	0	0	0	0	0	0	0	0.000409109504977499	0	0.00395472521478249	0	0	0.00409109504977499	0	0	0	0.000409109504977499	0	0	0	0	0	0	0	0	0	0.577935360698214	0	0	0	0.000272739669984999	0	0.000272739669984999	0	0	0.00477294422473749	0	0	0	0	0	0.000818219009954998	0.000545479339969999	0	0	0	0	0.0238647211236874	0	0	0.000818219009954998	0	0	0	0	0	0.0189554070639575	0	0	0	0	0.000409109504977499	0	0	0	0	0	0	0	0	0	0	0	0	0.001363698349925	0	0	0.0381835537978999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000272739669984999	0.01254602481931	0	0	0	0	0.0229101322787399	0	0	0	0	0.0203191054138824	0.00477294422473749	0.0132278739942725	0	0	0.00272739669984999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0405018409927724	0	0	0	0	0.00163643801991	0	0.0653211509614073	0	0.0890495022501023	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
SY02	0	0	0	0	9.2365953909389e-05	0	0.00050801274650164	0	0	0	0	0	0	0	0	0	0	0	0.00265552117489493	0.0571745254699118	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000785110608229806	0	0	0	0	0	0	0	0	0	0	0	0.000138548930864083	0	0	0	0	0.914284394772087	0	0	0	0.000277097861728167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000184731907818778	0.000531104234978987	0	0	0	0	0	0	0	0	0.00129312335473145	0	0	0	0	0	0	0	0	0	6.92744654320417e-05	0	0	0	0	0	0	0	0	0	0	0.00120075740082206	0	0	0	4.61829769546945e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00198586800905186	0	0	0	0	0.00258624670946289	6.92744654320417e-05	0	0	0	0	0.000207823396296125	0.00357918071398882	0	0	0.000184731907818778	0	0	0	0	0	0	0	0.000207823396296125	0	0	0	0	0	0	0	0.00110839144691267	0	0	0	0	0.000300189350205514	0	0.00635015933127049	0	0.00406410197201312	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
SY03	0	0	0	0	0.000564409922863977	0	0.0021232563764883	0	0	0	0	0	0	0.000994436530760341	0	0	0	0	0.00228451635444943	0.00198887306152068	0	0	0	0	0.000403149944902841	0	0	0.000188136640954659	0	0	0	0	0	0.00561722256564625	0	0	0	0	0	0	0	0	0	0	0	0.0005912865858575	0	0	0	0	0.910231945601634	0	0.000537533259870454	0	0.000456903270889886	0	0	0	0	0	0	0	0	0	0	0.000537533259870454	0	0	0	0	0.000241889966941705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000322519955922273	0	0	0.00112881984572795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110194318273443	0.0005912865858575	0	0	0.000215013303948182	0	0.00112881984572795	0	0	0	0	0.0005912865858575	0.000268766629935227	0.00330582954820329	0	0	0	0	0	0.00147821646464375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000215013303948182	0	0.0559034590265273	0	0.00392399279705432	0	0	0	0	0	0	0	5.37533259870454e-05	0	0	0	0	0	Batch3
SY04	0	0	0	0	0	0	0.00166517887797844	0	0	5.15003776694362e-05	0	0	0	0	0	0	0	0	0.267664629540617	0.00236901737279407	0	0	0	0	0	0	0	0	0	0	0	5.15003776694362e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.707563688800385	0	0	0	5.15003776694362e-05	3.43335851129575e-05	0	0	0	0.000171667925564787	0	0	0	0	0	6.8667170225915e-05	0	0	0	0	0	0.00120167547895351	0	0	0	0	0	0	0	0	0.00130467623429238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120167547895351	0	0	0.00109867472361464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.15003776694362e-05	0.00096134038316281	0	0	0	0	0.00101284076083225	0	0	0	0	0.000480670191581405	0.000223168303234224	0.00195701435143858	0	0	0	0	0	0	0	0	0	0	0.000240335095790702	0	0	0	0	0	0	0	0.000944173590606331	0	0	0	0	0	0	0.00478953512325757	5.15003776694362e-05	0.0058195426766463	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
SY05	0	4.66630113974405e-05	0	0	3.49972585480804e-05	0	0.000104991775644241	0	0	0	0	0	0	0	0	0	0	0	0.00240314508696819	0.00262479439110603	0	0	0	0	0	0	4.66630113974405e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33315056987203e-05	0	0	0	0	0.663664679600098	0	3.49972585480804e-05	0	0	0	0.000233315056987203	0	0	0.000326641079782084	0	0	0	0	0	0	0	0	0	0	0.000233315056987203	0.00212316701858354	0	0	0	0	0	0	0	0	0.000513293125371846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.33260227948811e-05	0	0	0.00108491501499049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33315056987203e-05	0.000933260227948811	0	0	0	0	0.0031614190221766	0	0	0	0	0.00139989034192322	0.000151654787041682	0.00318475052787532	0	0	0	0	0	0	0	0	0	0	0.000209983551288482	0	0	0	0	0	0	0	0.000758273935208409	0	0	0	0	0	0	0.309982384713197	0	0.00656781885418975	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
SY06	0	5.13215293815756e-05	0	0	0.00100076982294072	0	0.00069284064665127	0	0	0.000410572235052605	0	0	0.00143700282268412	0.00046189376443418	0	0.000179625352835515	0	0	0.00261739799846035	0.00100076982294072	0	0	0	0	0	0	0.000513215293815756	0	0	0	0	7.69822940723634e-05	0	0.00246343341031563	0	0	0.000487554529124968	0	0	0	0	0	0	0	0	5.13215293815756e-05	0	0	0	0	0.0650756992558378	0	0	0	0	0	0	0	0	0.00269438029253272	0	0	0	0	0	0.000513215293815756	0	0	0	0	0	0.00348986399794714	0	0	0.00246343341031563	0	5.13215293815756e-05	0	0	0	0.0023094688221709	0	0	0	0	0	0	0.00118039517577624	0	0	0.000615858352578907	0	0	0	0	0	0	0	0	0	0	0.000898126764177573	0	0	0	0.000769822940723634	0	0	0	0	0	0	0	0	0	0	0	0	0.000384911470361817	0	0	0	0	7.69822940723634e-05	0.00069284064665127	0	0	0	0.00705671028996664	0.888837567359507	0.000384911470361817	0	0	0.000282268411598666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133435976392096	0.000564536823197331	0	0	0	0	0	0	0.00395175776238132	0	0.00264305876315114	0	0	0	0	0	0	0	0	0	0	0.000667179881960482	0	0	Batch3
SY07	0	0	0	0.000398684341672481	0.00971793082826672	0	0.00882089105950364	0	0	0	0	0	0	0.00134555965314462	0	0.000697697597926841	0	0	0.00498355427090601	0.00154490182398086	0	0	0	0	0	0	0.000647862055217781	0	0	0	0	0	0	0	0	0	0.00014950662812718	0	0	0	0	0	0	0	0	0	0	0.000348848798963421	0	0	0.416824479218579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98355427090601e-05	0	0	0	0.0002491777135453	0	0	0	0.000498355427090601	0	0.00303996810525267	0	0	0	0	0.000996710854181202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00184391508023522	0	0	0.000548190969799661	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000996710854181202	0	0	0	0	0	0	0	0	0	0.00179407953752616	9.96710854181202e-05	0.0301505033389814	0	0	0.000847204226054022	0	0	0.00179407953752616	0	0	0	0	0.000598026512508721	0	0	0	0	0	0	0	0.00229243496461676	0	0	0	0	0	0	0.490830260141533	0	0.0131067477324828	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
SY08	0	0	0	0	0.00132159486001261	0	0.0119553504259602	0	0.00221621291909806	8.13289144623142e-05	0	0	0	0.000467641258158307	0	0.00252119634833174	0	0	0.00516438606835695	0.0344224630461745	0	0	0	0	0.000670963544314092	0	0.00294817314925889	0	0	0	0	0.00347681109326393	0	0.00180956834678649	0	0	0.00254152857694732	0	0	0	0	0	0	0	0	0	0	0.00223654514771364	0	0.000955614744932192	0.758066811703231	0	0	0	0.0106540877945632	0.000487973486773885	0.0027448508631031	0	0	0.00154524937478397	0	0	0	0	0	0.00374113006526645	0	0	0	0	0	0.0188886403838725	0	0	0	0	0	0	0.000386312343695992	0	0.000345647886464835	0	0	0	0	0	0	0.000935282516316613	0	0	0	0	0.00115893703108798	0	0	0	0	0	0.00439176138096497	0	0.00260252526279405	0.00410711018034687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000304983429233678	0	0	0	0	0	0.0343411341317122	0	0	0	0	0.00126059817416587	0.00229754183356038	0.00211455177602017	0	0	0.0039851168086534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107760811662566	0.00201289063294228	0	0.0401968159729988	0.000121993371693471	0.00107760811662566	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
SY09	0	0	0	0.00299075584556824	0.00226572412543049	0	0	0.000453144825086098	0	0.0135943447525829	0	0	0.00271886895051659	0	0	0.00158600688780134	0	0	0.00534710893601595	0.0161319557730651	0	0	0	0	0	0	0	0	0	0	0.000996918615189414	0	0	0.00620808410367954	0	0	0.00172195033532717	0	0	0	0.00131411999274968	0	0	0	0	0	0	0.000181257930034439	0	0	0.274696392967192	0	0.00176726481783578	0	0.000317201377560268	0.000317201377560268	0	0	0	0.00398767446075766	0	0	0	0	0	0.00190320826536161	0	0	0	0	0.000725031720137756	0.0069784303063259	0	0	0.00734094616639478	0	0	0	0.00285481239804241	0	0.0149990937103498	0	0	0	0	0	0	0	0	0.0032626427406199	0.00163132137030995	0	0	0	0	0	0	0	0	0	0.00253761102048215	0.000634402755120537	0	0	0.000679717237629146	0.00969729925684249	0	0	0	0.000860975167663585	0	0	0	0	0	0	0	0.000317201377560268	0.000860975167663585	0	0	0	0	0.00675185789378285	0.00172195033532717	0	0	0	0.00312669929309407	0.00657059996374841	0.0137302882001088	0	0	0.00679717237629146	0	0	0	0	0	0	0	0.00394235997824905	0	0	0	0	0	0	0	0.00117817654522385	0	0	0	0	0.00104223309769802	0	0.479200652528548	0.00580025376110205	0.0630324451694762	0	0	0	0	0	0	0	0	0	0	0.0060268261736451	0	0	Batch3
SY10	0	0	0	0	0.0107418933841984	0	0.010440718803333	0	5.01957634775625e-05	0	0	0	0	0.00421644413211525	0	0.00301174580865375	0	0	0.000426663989559281	0.00434193354080916	0	0	0	0	0	0	0.00100391526955125	0	0	0	0	0.00685172171468728	0	0.00594819797209116	0	0	0	0	0	0	0	0	0	0	0	0.00250978817387812	0	0	0	0	0.831693605059733	0	0.00203292842084128	0	0.0120971789980926	0	0	0	0	0.000100391526955125	0	0	0	0	0	0.00358899708864572	0	0	0	0	0	0.00135528561389419	0	0	0	0	0.00293645216343741	0	0	0	0.00185724324866981	0	0	0	0	0	0	0.00100391526955125	0	0	0	0	0	0	0	0	0	0	0.00675133018773216	0	0.00208312418431884	0.000175685172171469	0	0	0	0.000125489408693906	0	0	0	0	0	0	0	0	0	0	0	0	0.000426663989559281	0	0	0.00338821403473547	0	0.00629956831643409	0	0	0	0	0.000652544925208312	0.000276076699126594	0.00991366328681859	0	0	0.00180704748519225	0	0	0.00060234916173075	0	0	0	0.0052203594016665	0.000125489408693906	0	0	0	0	0	0	0	0.000175685172171469	0	0	0	0.00155606866780444	0.00291135428169862	0	0.0262523842987652	0	0.00406585684168256	0	0	0	0	0	0	0	0	0	0	0	0	0	Batch3
