Group	Number_KEGG
CON	369
CON	369
CON	375
CON	344
CON	359
CON	364
CON	399
CON	362
CON	382
CON	328
CON	369
CON	373
CON	348
CON	330
CON	351
CT1	280
CT1	289
CT1	286
CT1	271
CT1	291
CT1	285
CT1	274
CT1	299
CT1	326
CT1	276
CT1	280
CT1	279
CT1	296
CT1	291
CT1	285
CT1	296
CT1	280
CT1	317
CT1	269
CT1	286
CT1	281
CT1	295
CT1	266
CT1	269
CT1	284
CT1	282
CT1	276
CT1	282
CT1	265
CT1	289
CT1	266
CT1	298
CT1	275
CT1	269
CT1	286
CT1	267
CT1	315
CT1	287
CT1	269
CT1	279
CT1	277
CT1	266
CT1	278
CT1	280
CT1	266
CT1	285
CT1	287
CT1	314
CT1	325
CT1	268
CT1	289
CT1	365
CT1	337
CT1	305
CT1	370
CT1	374
CT1	351
CT1	349
CT2	287
CT2	293
CT2	285
CT2	294
CT2	286
CT2	281
CT2	295
CT2	274
CT2	256
CT2	280
CT2	271
CT2	319
CT2	279
CT2	286
CT2	376
CT2	327
CT2	380
CT2	334
CT2	370
CT2	383
CT2	374
CT2	351
CT2	338
CT2	358
CT2	391
CT2	351
CT2	367
CT2	381
