pathway	level1_pathway_name
ABC transporters	Environmental Information Processing
Acute myeloid leukemia	Human Diseases
Adherens junction	Cellular Processes
Adipocytokine signaling pathway	Organismal Systems
Adrenergic signaling in cardiomyocytes	Organismal Systems
African trypanosomiasis	Human Diseases
AGE-RAGE signaling pathway in diabetic complications	Human Diseases
"Alanine, aspartate and glutamate metabolism"	Metabolism
Alcoholic liver disease	Human Diseases
Alcoholism	Human Diseases
Aldosterone-regulated sodium reabsorption	Organismal Systems
Aldosterone synthesis and secretion	Organismal Systems
alpha-Linolenic acid metabolism	Metabolism
Alzheimer disease	Human Diseases
Amino acid related enzymes	Brite Hierarchies
Amino sugar and nucleotide sugar metabolism	Metabolism
Aminoacyl-tRNA biosynthesis	Genetic Information Processing
Aminobenzoate degradation	Metabolism
Amoebiasis	Human Diseases
Amphetamine addiction	Human Diseases
AMPK signaling pathway	Environmental Information Processing
Amyotrophic lateral sclerosis	Human Diseases
Antifolate resistance	Human Diseases
Antigen processing and presentation	Organismal Systems
Antimicrobial resistance genes	Brite Hierarchies
Apelin signaling pathway	Environmental Information Processing
Apoptosis	Cellular Processes
Apoptosis - fly	Cellular Processes
Apoptosis - multiple species	Cellular Processes
Arabinogalactan biosynthesis - Mycobacterium	Metabolism
Arachidonic acid metabolism	Metabolism
Arginine and proline metabolism	Metabolism
Arginine biosynthesis	Metabolism
Arrhythmogenic right ventricular cardiomyopathy	Human Diseases
Ascorbate and aldarate metabolism	Metabolism
ATP-dependent chromatin remodeling	Genetic Information Processing
Atrazine degradation	Metabolism
Autophagy - animal	Cellular Processes
Autophagy - yeast	Cellular Processes
Axon guidance	Organismal Systems
Axon regeneration	Organismal Systems
B cell receptor signaling pathway	Organismal Systems
Bacterial chemotaxis	Cellular Processes
Bacterial invasion of epithelial cells	Human Diseases
Bacterial motility proteins	Brite Hierarchies
Bacterial secretion system	Environmental Information Processing
Bacterial toxins	Brite Hierarchies
Basal cell carcinoma	Human Diseases
Basal transcription factors	Genetic Information Processing
Base excision repair	Genetic Information Processing
Benzoate degradation	Metabolism
beta-Alanine metabolism	Metabolism
beta-Lactam resistance	Human Diseases
Betalain biosynthesis	Metabolism
Bile secretion	Organismal Systems
Biofilm formation - Escherichia coli	Cellular Processes
Biofilm formation - Pseudomonas aeruginosa	Cellular Processes
Biofilm formation - Vibrio cholerae	Cellular Processes
"Biosynthesis of 12-, 14- and 16-membered macrolides"	Metabolism
Biosynthesis of ansamycins	Metabolism
Biosynthesis of enediyne antibiotics	Metabolism
Biosynthesis of siderophore group nonribosomal peptides	Metabolism
Biosynthesis of type II polyketide backbone	Metabolism
Biosynthesis of type II polyketide products	Metabolism
Biosynthesis of unsaturated fatty acids	Metabolism
Biosynthesis of vancomycin group antibiotics	Metabolism
Biosynthesis of various alkaloids	Metabolism
Biosynthesis of various antibiotics	Metabolism
Biosynthesis of various other secondary metabolites	Metabolism
Biosynthesis of various plant secondary metabolites	Metabolism
Biotin metabolism	Metabolism
Bisphenol degradation	Metabolism
Bladder cancer	Human Diseases
Brassinosteroid biosynthesis	Metabolism
Breast cancer	Human Diseases
Butanoate metabolism	Metabolism
C-type lectin receptor signaling pathway	Organismal Systems
C5-Branched dibasic acid metabolism	Metabolism
Caffeine metabolism	Metabolism
Calcium signaling pathway	Environmental Information Processing
cAMP signaling pathway	Environmental Information Processing
Caprolactam degradation	Metabolism
Carbapenem biosynthesis	Metabolism
Carbohydrate digestion and absorption	Organismal Systems
