pathway	N367M	N515M	TD181207731	TD181207732	TD181207733	TD181207736	TD181207739	X010M	X254	X275	X283	X294	X314	X321	X341	X353	X360	X361	X385	X391	X392	X431	D22BD538_461	D22BD540_524	D22BD542_455	D22BD543_285	D22BD546_302	D22BD547_260	D22BD548_308	D22BD550_238	D22BD552_244	D22BD554_316	D22BD555_248	D22BH739_268	D22BH741_298	D22BH742_330	D22BH744_370	D22BH746_377	D22BH747_383	D22BH748_389	D22BH750_427	D22BH752_439_2	D22BH753_454_1	D22BH757_476	D22BH759_488	D22BH760_493	D22BH761_494	D22BH762_497	D22BH763_505	D22BH766_533	D22BD536_469	CRS403	CRS440	CRS511	CRS513	CRS514	CRS517	CRS532	CRS534	CRS539	CRS540	CRS548	CRS549	CRS550	CRS552	CRS553	CRS555	CRS556	CRS557	CRS559	CRS560	CRS568	CRS573	CRS579	CRS584	CRS592	CRS606	CRS608	CRS612	CRS618	CRS619	CRS626	CRS629	CRS631	CRS636	CRS652
ABC transporters	506070.75	2756974.32	2673634.26	2887558.19	3009927.91	1642461.4	2172883.99	2982412.65	1969208.51	2568032.99	1654249.29	3049683.38	2281464.88	2477094.48	1574486.9	1925340.81	2329434.11	1619873.4	2601603.42	2904524.58	2349830.29	1891063.8	255779.66	1380127.61	708571.56	1336912.69	330174.52	1412233.69	2770908.13	627679.26	838371.13	2456452.06	813016.84	819191.51	1006084.67	829498.2	851373.9	1246613.47	868159.62	1183361.43	362407.16	1131603.02	346721.18	315675.98	392197.56	540182.86	1065615.78	679017.18	569625.4	610411.82	41317.58	11407698.62	477474.02	443008.11	1162846.95	2125247.56	678341.59	469241.05	120199.24	221882.46	898172.85	165515.54	426797.54	4300832.95	1137736.8	1773606.07	761406.43	482525.64	159377.52	295088.83	2832182.85	535938.51	364617.53	713964.89	275845.88	511083.31	641372.12	675136.53	915198	286503.32	197793.24	910368.46	1809232.01	153746.61	93616.08	2300709.32
Acute myeloid leukemia	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adherens junction	0	7.5	0	0	0	0	0	0	0	20	0	6	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adipocytokine signaling pathway	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adrenergic signaling in cardiomyocytes	16.75	459.25	8.75	795.4	157.25	205.5	40.75	34.5	561	531.25	410.15	185	272	10838.5	78.75	143.5	10383	195.5	1954.75	7201.75	1010.5	423	0	0	0	12.6	0	0	0	0	0	0	0	2	12.5	0	0	20.75	0	0	0	0	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0	30	0	490	0	0	25	0	0	90	0	0	0	35	0	0	35	0	0	0	45	0	0	0	0	0	0	0	0
African trypanosomiasis	955.5	7188.47	13260.11	14739.81	22912.73	2535.91	1079.6	3183.2	16901.47	16539.31	12125.25	19596.16	15299.66	13672.87	84395.37	2524.08	10259.61	11302.9	11978.88	12007.68	10366.2	12488.79	6239.51	3374.45	6093.17	5715.57	6.33	2786.01	1015.83	252.33	5559	1799.98	1587.33	2059.81	1758.83	1478.98	2269.41	4405.32	22334.5	17112.83	3112.05	4014.49	6649.21	1939.18	2428.17	3287.18	8023.86	1230.69	2740	772.58	419.66	161361.66	7330.35	6726.02	27314.84	10522.58	1933.04	1429.67	1788.36	833.66	14368.33	1902	9305.08	715.61	16910.15	526.04	3951.83	1215.67	904.27	4478	438.33	15462.82	729.42	4282.18	7562.05	6418.32	11026.33	5603.84	25800.52	5259.5	507.33	756.87	13172.55	1042.82	286.17	970.01
AGE-RAGE signaling pathway in diabetic complications	0	10	0	0	0	0	0	0	0	10	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alanine, aspartate and glutamate metabolism"	219602.12	446434.62	264910.02	497829.85	480979	326870.16	273584.93	314266.32	357085.23	418506.54	282047.35	492967.39	373111.21	455547.12	705793.48	232233.65	418646.47	249721.02	408150	446918.96	364341.19	298766.45	79152.51	252491.53	102386.39	287360.23	104579.54	267345.9	380968.92	84993.64	94162.16	571150.08	132986.3	165936.79	206339.95	165854.71	150487.42	185213.04	253696.28	313547.73	74564.6	149616.84	85914.32	48332.47	74304.27	85655.2	191898.62	125489.84	116084.79	124778.07	7740.46	1232119.83	106183.63	95751.06	314524.2	312450.99	276382.92	69248.2	28437.71	27878.39	201866.55	33902.87	113172.94	244092.18	217103.79	577458.08	96195.29	50649.28	21559.09	63346.9	163316.97	176771.32	41352.49	117063.26	86730.36	59492.2	151442.79	116111.81	292133.73	66971.76	34677.44	63331.77	214323.3	25980.82	10148.54	258599.51
Alcoholic liver disease	1817.66	31687.75	20894.52	55552.32	51587.91	14647.41	3986.82	17113.85	44154.89	47169.53	38977.33	84683.11	53344.06	60198.41	73062.01	10919.4	56463.27	20715.96	39910	51881.01	18672.82	29663.34	1166.5	7129.73	15723.42	18641.43	1065.67	27383.5	99260.75	5084	19546.42	17703.79	16365	9310.58	8955.8	11660.16	9258.5	14361.89	28153.64	13851.83	3292.26	15510.97	6716.5	3784.76	3915.63	6106.36	12778.72	6182.47	8803.52	4172.57	477.87	162733	6501.09	8690.65	33014.5	80625.08	3181.58	10883.67	1277.09	6108.67	19603.5	3299.72	8054.17	2387.37	12804.64	7692.99	11973.83	3053.66	4234.99	3571.42	2273.54	12952.01	9370.25	13285.42	745.33	7914.27	12214.35	21653	23358.18	2561.67	3337.33	1667.67	5368.01	3627.25	2599.51	103047.33
Alcoholism	0	89	20	1112	114	115	20	0	68	235.67	352	1163	353	7510	0	25	8051	20	823	5105	275	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	45	0
