ID	[Eubacterium]	[Prevotella]	[Ruminococcus]	Abiotrophia	Achromobacter	Acidovorax	Acinetobacter	Actinobacillus	Actinobaculum	Actinomyces	Aerococcus	Aeromonas	Aggregatibacter	Agrobacterium	Akkermansia	Alcaligenes	Alistipes	Allobaculum	Alloiococcus	Anaerococcus	Anaerolinea	Anaerotruncus	Aquabacterium	Arcobacter	Arthrobacter	Atopobium	Bacillus	Bacteroides	Bifidobacterium	Blautia	Brevibacterium	Brevundimonas	Bulleidia	Burkholderia	Butyricimonas	Caldicoprobacter	Campylobacter	Candidatus Solibacter	Candidatus Xiphinematobacter	CandidatusArthromitus	Capnocytophaga	Carnobacterium	Cellvibrio	Cetobacterium	Chitinophaga	Chryseobacterium	Cloacibacterium	Clostridium	Comamonas	Coprococcus	Corynebacterium	Cupriavidus	Cystobacter	DA101	Deinococcus	Delftia	Dermabacter	Desulfovibrio	Devosia	Dialister	Dok59	Dokdonella	Dorea	Dyadobacter	E6	Enhydrobacter	Enterobacter	Enterococcus	Exiguobacterium	Faecalibacterium	Filifactor	Finegoldia	Flavobacterium	Flexispira	Fusobacterium	Gemmiger	Geobacillus	Geobacter	Granulicatella	HA73	Haemophilus	Helicobacter	Hyphomicrobium	Kaistobacter	Kosmotoga	Lachnoanaerobaculum	Lachnospira	Lactobacillus	Lactococcus	Lautropia	Leptotrichia	Lysobacter	Massilia	Megamonas	Megasphaera	Mesorhizobium	Methanobacterium	Methanosaeta	Methylobacterium	Microbacterium	Micrococcus	Moraxella	Mucispirillum	Mycobacterium	Mycoplasma	Neisseria	Nitrosomonas	Nitrospira	Nocardioides	Ochrobactrum	Odoribacter	Oleibacter	Olsenella	Oscillospira	Paenibacillus	Paludibacter	Parabacteroides	Paracoccus	Parvimonas	PD-UASB-13	Pediococcus	Pelomonas	Peptococcus	Peptoniphilus	Peptostreptococcus	Petrimonas	Phascolarctobacterium	Phyllobacterium	Porphyromonas	Prevotella	Propionibacterium	Propionicimonas	Proteiniclasticum	Pseudomonas	Pseudoxanthomonas	Ralstonia	Rhodococcus	Rhodoplanes	Roseburia	Roseococcus	Roseomonas	Rothia	Rubrivivax	Rubrobacter	Ruegeria	Ruminococcus	Schwartzia	Sedimentibacter	Selenomonas	Serratia	SHD-231	Shewanella	Sphingobacterium	Sphingobium	Sphingomonas	Sporanaerobacter	Staphylococcus	Stenotrophomonas	Streptococcus	Sutterella	Syntrophobacter	Syntrophomonas	T78	Tannerella	Thermomonas	Thioalkalimicrobium	Treponema	Turicibacter	vadinHB04	Veillonella	Weissella	Zoogloea
SY01	0	0	0	0	0.001772808	0	0.001227329	0	0	0	0	0	0	0	0	0.001090959	0	0	0.028910405	0.015273422	0	0	0	0	0	0	0	0	0	0	0	0.00040911	0	0.003954725	0	0	0.004091095	0	0	0	0.00040911	0	0	0	0	0	0	0	0	0	0.577935361	0	0	0	0.00027274	0	0.00027274	0	0	0.004772944	0	0	0	0	0	0.000818219	0.000545479	0	0	0	0	0.023864721	0	0	0.000818219	0	0	0	0	0	0.018955407	0	0	0	0	0.00040911	0	0	0	0	0	0	0	0	0	0	0	0	0.001363698	0	0	0.038183554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00027274	0.012546025	0	0	0	0	0.022910132	0	0	0	0	0.020319105	0.004772944	0.013227874	0	0	0.002727397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040501841	0	0	0	0	0.001636438	0	0.065321151	0	0.089049502	0	0	0	0	0	0	0	0	0	0	0	0	0
SY02	0	0	0	0	9.24E-05	0	0.000508013	0	0	0	0	0	0	0	0	0	0	0	0.002655521	0.057174525	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000785111	0	0	0	0	0	0	0	0	0	0	0	0.000138549	0	0	0	0	0.914284395	0	0	0	0.000277098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000184732	0.000531104	0	0	0	0	0	0	0	0	0.001293123	0	0	0	0	0	0	0	0	0	6.93E-05	0	0	0	0	0	0	0	0	0	0	0.001200757	0	0	0	4.62E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.001985868	0	0	0	0	0.002586247	6.93E-05	0	0	0	0	0.000207823	0.003579181	0	0	0.000184732	0	0	0	0	0	0	0	0.000207823	0	0	0	0	0	0	0	0.001108391	0	0	0	0	0.000300189	0	0.006350159	0	0.004064102	0	0	0	0	0	0	0	0	0	0	0	0	0
SY03	0	0	0	0	0.00056441	0	0.002123256	0	0	0	0	0	0	0.000994437	0	0	0	0	0.002284516	0.001988873	0	0	0	0	0.00040315	0	0	0.000188137	0	0	0	0	0	0.005617223	0	0	0	0	0	0	0	0	0	0	0	0.000591287	0	0	0	0	0.910231946	0	0.000537533	0	0.000456903	0	0	0	0	0	0	0	0	0	0	0.000537533	0	0	0	0	0.00024189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00032252	0	0	0.00112882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001101943	0.000591287	0	0	0.000215013	0	0.00112882	0	0	0	0	0.000591287	0.000268767	0.00330583	0	0	0	0	0	0.001478216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000215013	0	0.055903459	0	0.003923993	0	0	0	0	0	0	0	5.38E-05	0	0	0	0	0
SY04	0	0	0	0	0	0	0.001665179	0	0	5.15E-05	0	0	0	0	0	0	0	0	0.26766463	0.002369017	0	0	0	0	0	0	0	0	0	0	0	5.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.707563689	0	0	0	5.15E-05	3.43E-05	0	0	0	0.000171668	0	0	0	0	0	6.87E-05	0	0	0	0	0	0.001201675	0	0	0	0	0	0	0	0	0.001304676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120168	0	0	0.001098675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.15E-05	0.00096134	0	0	0	0	0.001012841	0	0	0	0	0.00048067	0.000223168	0.001957014	0	0	0	0	0	0	0	0	0	0	0.000240335	0	0	0	0	0	0	0	0.000944174	0	0	0	0	0	0	0.004789535	5.15E-05	0.005819543	0	0	0	0	0	0	0	0	0	0	0	0	0
SY05	0	4.67E-05	0	0	3.50E-05	0	0.000104992	0	0	0	0	0	0	0	0	0	0	0	0.002403145	0.002624794	0	0	0	0	0	0	4.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33E-05	0	0	0	0	0.66366468	0	3.50E-05	0	0	0	0.000233315	0	0	0.000326641	0	0	0	0	0	0	0	0	0	0	0.000233315	0.002123167	0	0	0	0	0	0	0	0	0.000513293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.33E-05	0	0	0.001084915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33E-05	0.00093326	0	0	0	0	0.003161419	0	0	0	0	0.00139989	0.000151655	0.003184751	0	0	0	0	0	0	0	0	0	0	0.000209984	0	0	0	0	0	0	0	0.000758274	0	0	0	0	0	0	0.309982385	0	0.006567819	0	0	0	0	0	0	0	0	0	0	0	0	0
SY06	0	5.13E-05	0	0	0.00100077	0	0.000692841	0	0	0.000410572	0	0	0.001437003	0.000461894	0	0.000179625	0	0	0.002617398	0.00100077	0	0	0	0	0	0	0.000513215	0	0	0	0	7.70E-05	0	0.002463433	0	0	0.000487555	0	0	0	0	0	0	0	0	5.13E-05	0	0	0	0	0.065075699	0	0	0	0	0	0	0	0	0.00269438	0	0	0	0	0	0.000513215	0	0	0	0	0	0.003489864	0	0	0.002463433	0	5.13E-05	0	0	0	0.002309469	0	0	0	0	0	0	0.001180395	0	0	0.000615858	0	0	0	0	0	0	0	0	0	0	0.000898127	0	0	0	0.000769823	0	0	0	0	0	0	0	0	0	0	0	0	0.000384911	0	0	0	0	7.70E-05	0.000692841	0	0	0	0.00705671	0.888837567	0.000384911	0	0	0.000282268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133436	0.000564537	0	0	0	0	0	0	0.003951758	0	0.002643059	0	0	0	0	0	0	0	0	0	0	0.00066718	0	0
SY07	0	0	0	0.000398684	0.009717931	0	0.008820891	0	0	0	0	0	0	0.00134556	0	0.000697698	0	0	0.004983554	0.001544902	0	0	0	0	0	0	0.000647862	0	0	0	0	0	0	0	0	0	0.000149507	0	0	0	0	0	0	0	0	0	0	0.000348849	0	0	0.416824479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98E-05	0	0	0	0.000249178	0	0	0	0.000498355	0	0.003039968	0	0	0	0	0.000996711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001843915	0	0	0.000548191	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000996711	0	0	0	0	0	0	0	0	0	0.00179408	9.97E-05	0.030150503	0	0	0.000847204	0	0	0.00179408	0	0	0	0	0.000598027	0	0	0	0	0	0	0	0.002292435	0	0	0	0	0	0	0.49083026	0	0.013106748	0	0	0	0	0	0	0	0	0	0	0	0	0
SY08	0	0	0	0	0.001321595	0	0.01195535	0	0.002216213	8.13E-05	0	0	0	0.000467641	0	0.002521196	0	0	0.005164386	0.034422463	0	0	0	0	0.000670964	0	0.002948173	0	0	0	0	0.003476811	0	0.001809568	0	0	0.002541529	0	0	0	0	0	0	0	0	0	0	0.002236545	0	0.000955615	0.758066812	0	0	0	0.010654088	0.000487973	0.002744851	0	0	0.001545249	0	0	0	0	0	0.00374113	0	0	0	0	0	0.01888864	0	0	0	0	0	0	0.000386312	0	0.000345648	0	0	0	0	0	0	0.000935283	0	0	0	0	0.001158937	0	0	0	0	0	0.004391761	0	0.002602525	0.00410711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000304983	0	0	0	0	0	0.034341134	0	0	0	0	0.001260598	0.002297542	0.002114552	0	0	0.003985117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001077608	0.002012891	0	0.040196816	0.000121993	0.001077608	0	0	0	0	0	0	0	0	0	0	0	0	0
SY09	0	0	0	0.002990756	0.002265724	0	0	0.000453145	0	0.013594345	0	0	0.002718869	0	0	0.001586007	0	0	0.005347109	0.016131956	0	0	0	0	0	0	0	0	0	0	0.000996919	0	0	0.006208084	0	0	0.00172195	0	0	0	0.00131412	0	0	0	0	0	0	0.000181258	0	0	0.274696393	0	0.001767265	0	0.000317201	0.000317201	0	0	0	0.003987674	0	0	0	0	0	0.001903208	0	0	0	0	0.000725032	0.00697843	0	0	0.007340946	0	0	0	0.002854812	0	0.014999094	0	0	0	0	0	0	0	0	0.003262643	0.001631321	0	0	0	0	0	0	0	0	0	0.002537611	0.000634403	0	0	0.000679717	0.009697299	0	0	0	0.000860975	0	0	0	0	0	0	0	0.000317201	0.000860975	0	0	0	0	0.006751858	0.00172195	0	0	0	0.003126699	0.0065706	0.013730288	0	0	0.006797172	0	0	0	0	0	0	0	0.00394236	0	0	0	0	0	0	0	0.001178177	0	0	0	0	0.001042233	0	0.479200653	0.005800254	0.063032445	0	0	0	0	0	0	0	0	0	0	0.006026826	0	0
SY10	0	0	0	0	0.010741893	0	0.010440719	0	5.02E-05	0	0	0	0	0.004216444	0	0.003011746	0	0	0.000426664	0.004341934	0	0	0	0	0	0	0.001003915	0	0	0	0	0.006851722	0	0.005948198	0	0	0	0	0	0	0	0	0	0	0	0.002509788	0	0	0	0	0.831693605	0	0.002032928	0	0.012097179	0	0	0	0	0.000100392	0	0	0	0	0	0.003588997	0	0	0	0	0	0.001355286	0	0	0	0	0.002936452	0	0	0	0.001857243	0	0	0	0	0	0	0.001003915	0	0	0	0	0	0	0	0	0	0	0.00675133	0	0.002083124	0.000175685	0	0	0	0.000125489	0	0	0	0	0	0	0	0	0	0	0	0	0.000426664	0	0	0.003388214	0	0.006299568	0	0	0	0	0.000652545	0.000276077	0.009913663	0	0	0.001807047	0	0	0.000602349	0	0	0	0.005220359	0.000125489	0	0	0	0	0	0	0	0.000175685	0	0	0	0.001556069	0.002911354	0	0.026252384	0	0.004065857	0	0	0	0	0	0	0	0	0	0	0	0	0
